key,zh_CN,en,ja
活尸,活尸,Corpses,生きている死体
死灵术士,死灵术士,Necromancer,ネクロマンサー
灵魂提灯者,灵魂提灯者,Soul Lartern,ソウルランタン
触手法师,触手法师,Tentacle Mage,触手マスター
普攻附加100%魔法伤害,普攻附加100%魔法伤害,Basic attack also deal 100% magical damage,基本攻撃は100％の魔法ダメージを追加します
蜗牛,蜗牛,Snail,カタツムリ
女战士,女战士,Female Warrior,女战士
每3秒：施放一个奥术飞弹造成100%法强的魔法伤害。,每3秒：施放一个奥术飞弹造成100%法强的魔法伤害。,"Every 3 seconds: Cast an arcane missile, dealing 100% magic power magical damage",3秒ごと：秘儀ミサイルをキャストすると、100％の魔法ダメージを与えます。
当有单位死亡:本次战斗+30攻击力,当有单位死亡:本次战斗+30攻击力,On unit death: gain 30 attack this battle,ユニットが死亡した場合：この戦闘での攻撃力+30
剑客,剑客,Swordman,剣士
冰龙,冰龙,Ice Dragon,氷の竜
雪女,雪女,Snow Maiden,雪の乙女
每5秒：最近3名内友军获得[抵御][魔御]各5层,每5秒：最近3名内友军获得[抵御][魔御]各5层,Every 5 seoncds: 3 nearest friendly units receive 5 stack of[Armored] and [Magic Armored],5秒ごと：最後の3人の内部味方部隊は、[防御] [魔法]を各5レベル取得します
普通攻击附加随机负面状态3层,普通攻击附加随机负面状态3层,Basic attack inflicts 3 stacks of random negative stutus effect,通常の攻撃はランダムなネガティブ状態の3つのレイヤーを追加します
普攻攻击附加1层[烧灼][中毒],普攻攻击附加1层[烧灼][中毒],Basic attack inflicts 1 stack of [Burning] and [Poisoned],1層追加の基本攻撃攻撃[焼き] [毒]
每10秒：霸王斩对直线单位造成200%物理伤害，普通攻击减少20%冷却,每10秒：霸王斩对直线单位造成200%物理伤害，普通攻击减少20%冷却,"Every 10 seconds: Slashs all enemy units on a straight line with Barbarian Strick, dealing 200% physical damage to them. Every Basic attack refund 20% cooldown",10秒ごと：オーバーロードは、直線ユニットに200％の物理ダメージを与え、通常の攻撃では20％のクールダウンを引き起こします
每5秒：获得10层[魔御],每5秒：获得10层[魔御],Every 5 seconds: gain 10 stacks of [Magic Armored],5秒ごと：10のレイヤーを獲得する[Magic Royal]
荒原野兽,荒原野兽,King of Wasteland,荒れ野の獣
每7秒，对3个法强最高敌方单位造成200%物理伤害，并附加10层[流血],每7秒，对3个法强最高敌方单位造成200%物理伤害，并附加10层[流血],"Every 7 seconds: dealing 200% physical damage to 3 enemy units with the highest magic power, and inflicts 10 stacks of [Hemorrhaged]",7秒ごとに、最大のパワーを持つ3つの敵ユニットに200％の物理ダメージを与え、さらに10のレイヤーを追加します[出血]
海螺章鱼,海螺章鱼,Conch Octapus,巻き貝のタコ
"30%的概率闪避普通攻击,获得等同于闪避的暴击率","30%的概率闪避普通攻击,获得等同于闪避的暴击率","30% chance to evade Basic attack, gain crit chance equivalent evasion chance",30％の確率で通常の攻撃を回避し、回避に等しいクリティカルストライク率を獲得します
毒气团,毒气团,Toxin,ガス質量
忍者,忍者,Ninja,忍者
"每10秒：召唤陨石对目标及1格内单位造成300%的魔法伤害,并附加10层[烧灼]","每10秒：召唤陨石对目标及1格内单位造成300%的魔法伤害,并附加10层[烧灼]","Every 10 seconds: Summon a meteor, dealing 300% magical damage to target and all enemy units within 1 square, and inflicting 10 stacks of [Burning]",10秒ごと：隕石を召喚して、ターゲットと1スクエア内のユニットに300％の魔法ダメージを与え、さらに10のレイヤーを追加します[Burn]
风行者,风行者,Windranger,ウインドランナー
