key,zh_CN,en,ja
"穿戴者杀死非召唤单位获得2金币,每场战斗限6金币","穿戴者杀死非召唤单位获得2金币,每场战斗限6金币","Gain 2 coins on kill, maximum 6 per battle",着用者は、召喚されていないユニットを殺して2ゴールドコインを獲得します。各バトルは6ゴールドコインに制限されています
生命之枪,生命之枪,Lance of Life,命の銃
穿戴者杀死生物召唤1个骷髅士兵,穿戴者杀死生物召唤1个骷髅士兵,Summon a Skeleton on kill,装着者はクリーチャーを殺し、スケルトンの兵士を1人召喚する
受到普通攻击，对攻击者造成15%物理防御的魔法伤害。,受到普通攻击，对攻击者造成15%物理防御的魔法伤害。,"Upon being hit by a basic attack, reflects magical damage equivalent of 15% armor",通常攻撃を受け、攻撃者の物理防御に15％の魔法ダメージを与えます。
狂怒匕首,狂怒匕首,Berserker's Dagger,猛烈な短剣
攻击命中有10层[烧灼]的单位时，召唤陨石对周围单位造成150%魔法伤害,攻击命中有10层[烧灼]的单位时，召唤陨石对周围单位造成150%魔法伤害,"If the target had 10 stacks of [Posioned], summon a meteor, dealing 150% magical damage to nearby units",[焦げ] 10層のユニットを攻撃するとき、隕石を召喚して周囲のユニットに150％の魔法ダメージを与える
细剑,细剑,Backsword,剣
生命值服,生命值服,Cloth of Life,健康サービス
普通攻击额外造成目标最大生命值5%的物理伤害,普通攻击额外造成目标最大生命值5%的物理伤害,Normal attack deal bonus damage equivalent to 5% of target's max Hp,通常攻撃は、ターゲットの最大ヘルスの5％の追加の物理的ダメージを与えます
寒箭,寒箭,Glacial Bolt,ハンジアン
释放技能时，下次普通攻击附加150%魔法伤害,释放技能时，下次普通攻击附加150%魔法伤害,Attack deals 150% magical damage after casting an ability,スキルがリリースされると、次の通常攻撃は150％の魔法ダメージを追加します
普通攻击20%概率附加5层[中毒],普通攻击20%概率附加5层[中毒],20% chance to inflict 5 stacks of [Poisoned] on normal attacks,5つの追加レイヤーで通常攻撃の20％の確率[中毒]
霜之枪,霜之枪,Frostfang,フロストガン
普通攻击20%概率附加5层[流血],普通攻击20%概率附加5层[流血],20% chance to inflict 5 stacks of [Hemorrhaged] on normal attacks,通常攻撃の確率20％、追加5層[出血]
战斗时获得相当于你最大生命值3%的攻击力,战斗时获得相当于你最大生命值3%的攻击力,Gain attack power equivalent to 3% of max Hp,戦闘中に最大ヘルスの3％に等しい攻撃力を獲得する
锯齿剑,锯齿剑,Serrated Spikes,鋸歯状の剣
毒枪,毒枪,Venom Pike,毒銃
白银盾,白银盾,Silver Shield,シルバーシールド
骷髅之戒,骷髅之戒,Ring of Skeleton,スカルリング
暴击时获得5层狂怒,暴击时获得5层[狂怒],"Receive 5 stacks of [Berserked] upon crit
",クリティカルストライク中に5段階を獲得する[Furious]
高速匕首,高速匕首,Light Daggers,高速短剣
黑晶盾,黑晶盾,Onyx Shield,ブラッククリスタルシールド
技能命中敌方单位时，赋予目标5层[中毒],技能命中敌方单位时，赋予目标5层[中毒],"When an ability damages enemy units, inflict 5 stacks of [Poisoned]",スキルが敵ユニットに命中した場合、ターゲットに5レベルを付与します[毒]
冰霜戒指,冰霜戒指,Ring of Frost,フロストリング
攻击命中有10层[中毒]的单位时，毒爆周围单位造成150%魔法伤害,攻击命中有10层[中毒]的单位时，毒爆周围单位造成150%魔法伤害,"If the target had 10 stacks of [Posion], explode for 150% magical damage to nearby units",毒]が10層に当たるユニットを攻撃すると、周囲のユニットが150％の魔法ダメージを与える
技能命中敌方单位时，赋予目标5层[结霜],技能命中敌方单位时，赋予目标5层[结霜],"When an ability damages enemy units, inflict 5 stacks of [Frozen]",スキルが敵ユニットに命中した場合、[Frost]の5レベルをターゲットに付与します
闪耀之杖,闪耀之杖,Rod of Radiance,輝くスタッフ
复活甲,复活甲,Vest of Immortals,復活の鎧
金法杖,金法杖,Golden Wand,ゴールデンスタッフ
冰杖,冰杖,Congealed Wand,アイススティック
免疫所有负面状态！,免疫所有负面状态！,Immune to all negative status effects!,すべてのネガティブな状態に耐性があります！
神戒,神戒,Divine Ring,神の指輪
当你获得[狂怒]时也获得相应层数的[急速],当你获得[狂怒]时也获得相应层数的[急速],Receive equal amount stacks of [Hasted] when [Berserked],[激怒]を獲得すると、対応するレベルの[速攻]も獲得します
火焰披风,火焰披风,Bonfire Cape,炎のマント
当你拥有[急速]，普通攻击也附加4层[结霜],当你拥有[急速]，普通攻击也附加4层[结霜],Normal attack inflicts 4 stacks of [Forzen] if [Hasted]d,[速攻]を持っている場合、通常の攻撃にも4つの追加レイヤーがあります[霜]
每5秒：获得5层狂怒,"每5秒：获得5层[狂怒]
",Receive 5 stacks of [Berserked] every 5 seconds,5秒ごと：[激怒]の5レベルを獲得\ n
技能命中敌方单位时，赋予目标5层[烧灼],技能命中敌方单位时，赋予目标5层[烧灼],"When an ability damages enemy units, inflict 5 stacks of [Burning]",スキルが敵ユニットに命中した場合、ターゲットに5つのレイヤーを付与します[バーン]
拉锯拳刃,拉锯拳刃,Katar,鋸刃
普通攻击20%概率获得5层[急速],普通攻击20%概率获得5层[急速],20% to gain 5 stacks of [Hasted] on normal attacks,通常の攻撃で20％の確率で5レベルが上がる[急いで]
项链,项链,Necklace,ネックレス
血精戒,血精戒,Hemo-ring,血の輪
普通攻击20%概率赋予5层[失明],普通攻击[失明]的生物，额外造成[失明]层数 * 5的魔法伤害,20% chance to inflict 5 stacks of [Blinded] on normal attacks,通常攻撃の20％の確率で5層の[ブラインドネス]を付与します
每4次普通攻击额外造成100%物理伤害 和 100%魔法伤害,每4次普通攻击额外造成100%物理伤害 和 100%魔法伤害,Every fourth normal attack deal 100% bonus physical and magical damage,通常攻撃4回ごとに、物理ダメージが100％、魔法ダメージが100％増加します
